id,text,valg1_label,valg1_goto,valg2_label,valg2_goto,story_title,story_description,length,age
1,"Det er en solrig morgen i Hundredmeterskoven. Peter Plys vågner, strækker sig og tænker på sin yndlingsting i hele verden: honning. ""Mmm, honning,"" mumler han. ""Måske skal jeg besøge min ven Kanin. Han har tit lidt honning… eller også kan jeg prøve at finde noget selv i træerne.""",Gå til Kanins hus,2,Prøv at finde honning i træerne,55,Peter Plys og hans venner,"Et hyggeligt, interaktivt eventyr i Hundredmeterskoven.",,
2,"Peter Plys banker på Kanins dør. ""Hej, Kanin!"" siger han forhåbningsfuldt. Kanin åbner døren, kigger på ham og sukker med et lille smil. ""Jeg ved præcis, hvad du er ude efter, Plys."" Inde på køkkenbordet står flere honningkrukker på række. ""Du kan få én krukke honning i dag – men kun én,"" siger Kanin bestemt.",Sig tak for honningen,4,Spørg: Må jeg spise det hos dig? ,54,,,,
3,"Kylling sidder i sin have og planter blomster, da Peter Plys kommer forbi. ""Hej, Plys!"" siger hun venligt. ""Jeg har desværre ikke noget honning, men jeg har nogle søde bær. Vil du smage? Eller har du mere lyst til at gå en tur i skoven og se, hvem du møder?""",Tak ja til bærene,6,Gå en tur i skoven,93,,,,
4,"Peter Plys tager honningkrukken og smiler stort. ""Tak, Kanin, du er den bedste ven,"" siger han og trasker hjemad. Men stien virker længere end normalt, og skoven føles pludselig meget stille. I buskene ved siden af stien hører han en mystisk lyd… eller også synes han, at han kan se Øbør i det fjerne.",Undersøg lyden,11,Gå hen til Øbør,72,,,,
5,"Kanin ryster på hovedet. ""Nej, Plys. Jeg sagde én krukke – det er rigeligt for i dag,"" siger han mildt, men fast. Peter Plys ser lidt skuffet ud. Så smiler Kanin og tilføjer: ""Men du må gerne komme igen i morgen. Eller måske vil du hjælpe mig med at plante nye gulerødder?""",Gå hjem med den ene krukke,7,Hjælp Kanin med gulerødder,12,,,,
6,"Kylling rækker Peter Plys en lille kurv fyldt med friske bær. ""Her, Plys – de er søde og saftige,"" siger hun. Bærrene smager dejligt, men inde i hovedet tænker Plys stadig på honning. ""Måske skulle jeg alligevel besøge Kanin senere…""",Spis bærrene og gå hjem,7,Gå til Kanin alligevel,2,,,,
7,"Peter Plys går hjem til sit træ og stiller honningkrukken forsigtigt på bordet. Han åbner den og tager en lille skefuld. ""Mmm, det smager vidunderligt,"" siger han tilfreds. Han husker, hvad Kanin sagde om at dele og gemmer resten til senere. ""Det er godt at have venner,"" tænker han glad.",Slut - fortællingen er færdig,,,,,,,
8,"Peter Plys og Kanin sidder sammen ved bordet og snakker. ""Hvordan går det med dine gulerødder?"" spørger Plys. ""De gror rigtig fint,"" svarer Kanin. De taler længe om alt muligt, og Plys glemmer næsten honningen, for det er så hyggeligt at være sammen. Til sidst laver de en lille picnic, hvor Kanin tager gulerødder med, og Plys deler sin honning. ""Det er meget bedre at dele med en ven,"" siger Plys. ""Ja,"" nikker Kanin, ""venner er det bedste i verden!""",Slut - fortællingen er færdig,,,,,,,
11,"Peter Plys går forsigtigt tættere på buskene og kigger ind. ""Hvem er der?"" spørger han med en lille rysten i stemmen. Pludselig springer Grisling frem! ""Hej, Plys!"" siger han, men han ser lidt nervøs ud. ""Jeg er bange for at gå gennem skoven alene. Vil du gå med mig?"" I det samme får Plys også øje på Ugles træ, som ser ud til at være væltet efter en storm.",Gå med Grisling gennem skoven,13,Undersøg Ugles træ,121,,,,
12,"Kanin rækker Plys en lille skovl. ""Her, du kan hjælpe mig med at plante disse gulerødder,"" siger han. De arbejder side om side i haven. Jorden dufter, og solen skinner. Plys synes faktisk, det er ret hyggeligt, selvom han indimellem kommer til at tænke på honning igen.",Fortsæt med at plante,15,Tag en pause,16,,,,
