id	text	valg1_label	valg1_goto	valg2_label	valg2_goto	check_stat	check_dc	check_success	check_fail	image	front_screen_image	story_title	story_description	length	age	author
1	Emilie går i børnehave. En magisk dag ser hun en sølvglinsende dreng med et gyldent zippetov, der skinner i solen. Han hvisker: "Hvis du kan hoppe hurtigere end mig, får du en slikkepind fra Eventyrlandet - en der aldrig slutter!" Hvad gør Emilie?	Siger: "Ja, det vil jeg gerne prøve!"	2	Siger: "Jeg vil hellere lave magiske tegninger."	3			Emilie og den magiske slikkepind	Emilie møder en eventyrlig udfordring i børnehaven og opdager magi i sin dagligdag.	Kort	3-5	AI & Morten
2	Emilie tager det gyldne zippetov. Som hun hopper, begynder det at lyse og gnistre med regnbuefarvet magi! 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 – hun flyver næsten i luften! Drengen bukker sig mageligt og rækker hende en stor, glinsende slikkepind der pulserer med mildt lys. Hvad gør hun nu?	Spiser den straks	4	Vil dele magien med sine venner	5								
3	Emilie sætter sig og tegner et stort hjerte med gylden glimmer. Hendes farver begynder at danse på papiret! Den magiske dreng kommer hen og siger: "Din venlighed fortjener en belønning" og giver hende en lille, gnistrende slikkepind.	Hun bliver glad og siger tak	6	Hun gemmer den til senere	7								
4	Emilie bider i slikkepinden – og pludselig sker der noget mirakuløst! Den smager som jordbær, karamel og drømme, og jo mere hun spiser, jo større bliver den! Den vokser og glitrer med eventyrligt lys.	Hun griner og spiser videre	8	Hun kalder på de andre børn	5								
5	Emilie råber: "Kom og smag eventyret!" Alle børnene kommer løbende, og som de alle slikker, begynder hele børnehaven at skinne med regnbuefarvet magi. Luften dufter af sukker og eventyr!	Fortsæt festen!	9	Giv en bid til pædagogen	10								
6	Emilie smiler og siger: "Tak for magien!" Hun slikker lidt på slikkepinden og tænker, at venlighed måske er den største magi af alle.	Slut		Slut													
7	Emilie gemmer den magiske slikkepind i sin taske. Senere finder hun den – og den er blevet dobbelt så stor og lyser nu med et blødt, blåt skær!	Spiser den nu	4	Vil dele magien	5								
8	Slikkepinden bliver større og større, og snart må Emilie holde den med begge hænder! Den pulserer med farverige lys, og alle børnene siger: "Wow! Det er rigtig magi!"	Kalder på pædagogen	5	Spiser videre i magien	9								
9	Hele børnehaven danser rundt i et regnbuefarvet lys, mens børnene slikker og griner. Pædagogerne ser på og smiler – selv de kan se magien! Det blev den mest eventyrlige dag nogensinde.	Slut		Slut													
10	Pædagogen smager på den magiske slikkepind og siger med et smil: "Det her må være fra Eventyrlandet selv!" Hendes øjne glimter, og alle børnene griner. Magien deles videre til alle.	Slut		Slut

