id,text,valg1_label,valg1_goto,valg2_label,valg2_goto,valg3_label,valg3_goto,check_stat,check_dc,check_success,check_fail,image,front_screen_image,story_title,story_description,length,age
1,"You stand backstage at the largest bookstore in Copenhagen. Your debut novel ""The Silent Words"" has been on the bestseller list for three weeks. The audience of 200 people waits eagerly. But as you step toward the microphone, your throat closes. Your hands shake. The words you've practiced for weeks disappear from your mind. You freeze, unable to speak.",Take a deep breath and try again,2,Excuse yourself and leave,3,Ask for help from the event organizer,4,,,,,,,The Voice Within,A therapeutic journey story about overcoming public speaking anxiety through healing modalities around the world.,45-60 min,18+
2,"You try to speak, but your voice cracks. The audience grows restless. Someone in the front row whispers. You feel the weight of 200 pairs of eyes. Your heart races. This isn't working.",Continue to the green room,3,,,,,,,,,,,,,,
3,"Your publisher hands you a business card: """"Dr. Elena Vasquez - Hypnotherapist. She's helped many performers overcome stage fright.""""""",Visit Dr. Elena's office,5,,,,,,,,,,,,,,,
4,"The event organizer, a kind woman named Sarah, notices your distress. ""Don't worry, honey. This happens to the best of us. I know someone who can help."" She writes down a name: Dr. Elena Vasquez.",Visit Dr. Elena's office,5,,,,,,,,,,,,,,
5,"She sits across from you with a notepad. """"Before we begin any work, I'd like to understand your experience better. Can you tell me - when else does this anxiety happen? Is it only when speaking publicly, or does it occur in other situations too?""""""",It happens in other situations too,5b,It's mainly just public speaking,5c,,,,,,,,,,,,,
5b,"Dr. Elena nods, making notes. ""I see. Can you give me some examples? Does it happen in job interviews? Meetings at work? Social situations? When ordering at a restaurant?""","Yes, in job interviews and meetings",5d,Mainly in social situations,5e,It's mostly just public speaking,5c,,,,,,,,,,
5c,"Dr. Elena writes something down. ""Okay, so it's specifically tied to speaking in front of groups. That's actually quite common. Can you tell me - when did this first start? Was there a specific event, or has it always been this way?""",There was a specific event,5f,It's always been this way,5g,,,,,,,,,,,,
5d,"Dr. Elena looks up from her notes. ""So it's not just public speaking - it's any situation where you feel evaluated or judged. That's important information. This suggests the fear is deeper than just stage fright. It's about being seen, being vulnerable, being judged.""",That sounds right,5h,,,,,,,,,,,,,,
5e,"Dr. Elena considers this. ""Social anxiety and performance anxiety often overlap. The fear of being judged can manifest in many ways. This helps me understand what we're working with.""",Continue,5h,,,,,,,,,,,,,,
5f,"Dr. Elena leans forward slightly. ""Can you tell me about that event? You don't have to go into detail if it's too difficult, but understanding the origin can help us address it more effectively.""",I can talk about it,5i,I'd rather not go into detail,5h,,,,,,,,,,,,
5g,"Dr. Elena nods. ""Sometimes anxiety develops gradually, without a clear trigger. That's okay - we can still work with it. The important thing is understanding how it affects you now.""",Continue,5h,,,,,,,,,,,,,,
5h,"She gestures to a comfortable reclining chair. """"Are you ready to begin your first session?""""""",Yes I'm ready,5j,I'm nervous about hypnosis,6,Can you explain what will happen?,7,,,,,,,,,,,
5i,"When you finish, she says, """"Thank you for trusting me with that. These early experiences can create patterns that our subconscious mind tries to protect us from, but sometimes that protection becomes a prison. We're going to help you break free.""""""",Continue,5h,,,,,,,,,,,,,,,
